"Date","home.team","away.team","home.score","away.score"
2018-11-09,"Levante","Sociedad",17,15
2018-11-10,"Ath Madrid","Ath Bilbao",9,6
2018-11-10,"Getafe","Valencia",17,7
2018-11-10,"Girona","Leganes",5,10
2018-11-10,"Valladolid","Eibar",9,16
2018-11-11,"Alaves","Huesca",13,9
2018-11-11,"Barcelona","Betis",20,15
2018-11-11,"Celta","Real Madrid",15,14
2018-11-11,"Sevilla","Espanol",23,15
2018-11-11,"Vallecano","Villarreal",15,11
2018-11-23,"Leganes","Alaves",13,7
2018-11-24,"Ath Madrid","Barcelona",3,8
2018-11-24,"Eibar","Real Madrid",14,9
2018-11-24,"Huesca","Levante",32,5
2018-11-24,"Valencia","Vallecano",13,13
2018-11-25,"Ath Bilbao","Getafe",8,15
2018-11-25,"Espanol","Girona",18,16
2018-11-25,"Sevilla","Valladolid",17,13
2018-11-25,"Villarreal","Betis",13,13
2018-11-26,"Sociedad","Celta",15,6
2018-11-30,"Vallecano","Eibar",5,13
2018-12-01,"Celta","Huesca",12,8
2018-12-01,"Getafe","Espanol",14,8
2018-12-01,"Real Madrid","Valencia",13,7
2018-12-01,"Valladolid","Leganes",20,14
2018-12-02,"Alaves","Sevilla",11,14
2018-12-02,"Barcelona","Villarreal",16,12
2018-12-02,"Betis","Sociedad",6,6
2018-12-02,"Girona","Ath Madrid",13,17
2018-12-03,"Levante","Ath Bilbao",17,12
2018-12-07,"Leganes","Getafe",17,6
2018-12-08,"Ath Madrid","Alaves",12,13
2018-12-08,"Espanol","Barcelona",15,17
2018-12-08,"Valencia","Sevilla",16,11
2018-12-08,"Villarreal","Celta",13,14
2018-12-09,"Betis","Vallecano",8,12
2018-12-09,"Eibar","Levante",32,14
2018-12-09,"Huesca","Real Madrid",11,5
2018-12-09,"Sociedad","Valladolid",23,10
2018-12-10,"Ath Bilbao","Girona",25,3
2018-12-14,"Celta","Leganes",15,5
2018-12-15,"Eibar","Valencia",18,11
2018-12-15,"Getafe","Sociedad",9,9
2018-12-15,"Real Madrid","Vallecano",9,11
2018-12-15,"Valladolid","Ath Madrid",8,14
